2021-02-16 13:35:36.710589
{'religious-groups-in-schools=y'} | Support Value=0.6252873563218391
{'aid-to-nicaraguan-contras=y', 'education-spending=n', 'mx-missile=y', 'Class Name=democrat'} | Support Value=0.36091954022988504
{'education-spending=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3586206896551724
{'crime=n', 'physician-fee-freeze=n', 'aid-to-nicaraguan-contras=y'} | Support Value=0.3586206896551724
{'superfund-right-to-sue=y', 'mx-missile=n'} | Support Value=0.3586206896551724
{'el-salvador-aid=y', 'Class Name=republican', 'physician-fee-freeze=y'} | Support Value=0.3586206896551724
{'crime=n', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y'} | Support Value=0.3586206896551724
{'religious-groups-in-schools=y', 'anti-satellite-test-ban=n', 'el-salvador-aid=y'} | Support Value=0.3586206896551724
{'crime=n', 'physician-fee-freeze=n', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Support Value=0.3586206896551724
{'crime=n', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.3586206896551724
{'religious-groups-in-schools=y', 'crime=y', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3586206896551724
{'religious-groups-in-schools=y', 'el-salvador-aid=y', 'physician-fee-freeze=y'} | Support Value=0.3586206896551724
{'synfuels-corporation-cutback=n', 'duty-free-exports=n'} | Support Value=0.3586206896551724
{'handicapped-infants=y', 'Class Name=democrat'} | Support Value=0.3586206896551724
{'education-spending=n', 'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3586206896551724
{'education-spending=n', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3586206896551724
{'physician-fee-freeze=n', 'education-spending=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} | Support Value=0.3586206896551724
{'adoption-of-the-budget-resolution=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'aid-to-nicaraguan-contras=y'} | Support Value=0.3586206896551724
{'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3586206896551724
{'education-spending=n', 'anti-satellite-test-ban=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.3586206896551724
{'anti-satellite-test-ban=n', 'mx-missile=n'} | Support Value=0.3586206896551724
{'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.3586206896551724
{'el-salvador-aid=n', 'adoption-of-the-budget-resolution=y', 'mx-missile=y', 'Class Name=democrat'} | Support Value=0.3586206896551724
{'physician-fee-freeze=n', 'education-spending=n', 'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y'} | Support Value=0.3586206896551724
{'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'anti-satellite-test-ban=y', 'Class Name=democrat'} | Support Value=0.3586206896551724
{'education-spending=n', 'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y'} | Support Value=0.3586206896551724
{'religious-groups-in-schools=y', 'crime=y', 'handicapped-infants=n'} | Support Value=0.3563218390804598
{'synfuels-corporation-cutback=n', 'handicapped-infants=n'} | Support Value=0.3563218390804598
{'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y', 'mx-missile=y'} | Support Value=0.3563218390804598
{'physician-fee-freeze=n', 'education-spending=n', 'anti-satellite-test-ban=y', 'el-salvador-aid=n'} | Support Value=0.3563218390804598
{'education-spending=n', 'adoption-of-the-budget-resolution=y', 'mx-missile=y'} | Support Value=0.3563218390804598
{'anti-satellite-test-ban=y', 'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3563218390804598
{'crime=y', 'Class Name=republican', 'physician-fee-freeze=y'} | Support Value=0.3563218390804598
{'physician-fee-freeze=n', 'duty-free-exports=y'} | Support Value=0.3563218390804598
{'aid-to-nicaraguan-contras=y', 'superfund-right-to-sue=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3563218390804598
{'religious-groups-in-schools=y', 'crime=y', 'el-salvador-aid=y', 'aid-to-nicaraguan-contras=n'} | Support Value=0.35402298850574715
{'education-spending=n', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.35402298850574715
{'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.35402298850574715
{'mx-missile=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.35402298850574715
{'education-spending=n', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} | Support Value=0.35402298850574715
{'superfund-right-to-sue=y', 'religious-groups-in-schools=y', 'duty-free-exports=n'} | Support Value=0.35402298850574715
{'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'mx-missile=y', 'el-salvador-aid=n'} | Support Value=0.35402298850574715
{'aid-to-nicaraguan-contras=y', 'education-spending=n', 'mx-missile=y', 'el-salvador-aid=n'} | Support Value=0.35402298850574715
{'mx-missile=n', 'physician-fee-freeze=y'} | Support Value=0.35402298850574715
{'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'el-salvador-aid=n'} | Support Value=0.35402298850574715
{'education-spending=n', 'anti-satellite-test-ban=y', 'physician-fee-freeze=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.35402298850574715
{'physician-fee-freeze=n', 'duty-free-exports=y', 'Class Name=democrat'} | Support Value=0.35402298850574715
{'physician-fee-freeze=n', 'anti-satellite-test-ban=y', 'mx-missile=y', 'el-salvador-aid=n'} | Support Value=0.35402298850574715
{'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y', 'mx-missile=y', 'Class Name=democrat'} | Support Value=0.35402298850574715
{'superfund-right-to-sue=n', 'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y'} | Support Value=0.35172413793103446
{'religious-groups-in-schools=y', 'mx-missile=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.35172413793103446
{'physician-fee-freeze=n', 'education-spending=n', 'superfund-right-to-sue=n'} | Support Value=0.35172413793103446
{'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.35172413793103446
{'el-salvador-aid=y', 'mx-missile=n', 'physician-fee-freeze=y'} | Support Value=0.35172413793103446
{'crime=n', 'el-salvador-aid=n'} | Support Value=0.35172413793103446
{'anti-satellite-test-ban=y', 'mx-missile=y', 'physician-fee-freeze=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.35172413793103446
{'religious-groups-in-schools=y', 'duty-free-exports=n', 'mx-missile=n'} | Support Value=0.35172413793103446
{'physician-fee-freeze=n', 'education-spending=n', 'aid-to-nicaraguan-contras=y', 'mx-missile=y'} | Support Value=0.35172413793103446
{'education-spending=n', 'anti-satellite-test-ban=y', 'mx-missile=y'} | Support Value=0.35172413793103446
{'superfund-right-to-sue=y', 'religious-groups-in-schools=y', 'crime=y', 'el-salvador-aid=y'} | Support Value=0.35172413793103446
{'adoption-of-the-budget-resolution=y', 'export-administration-act-south-africa=y', 'Class Name=democrat'} | Support Value=0.35172413793103446
{'education-spending=n', 'superfund-right-to-sue=n', 'Class Name=democrat'} | Support Value=0.35172413793103446
{'adoption-of-the-budget-resolution=n', 'el-salvador-aid=y'} | Support Value=0.35172413793103446
{'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y', 'mx-missile=y'} | Support Value=0.34942528735632183
{'duty-free-exports=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.34942528735632183
{'crime=y', 'mx-missile=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.34942528735632183
{'religious-groups-in-schools=n'} | Support Value=0.34942528735632183
{'education-spending=n', 'el-salvador-aid=n', 'mx-missile=y', 'Class Name=democrat'} | Support Value=0.34942528735632183
{'education-spending=n', 'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'Class Name=democrat'} | Support Value=0.34942528735632183
{'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.34942528735632183
{'crime=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.34942528735632183
{'duty-free-exports=n', 'religious-groups-in-schools=y', 'crime=y', 'el-salvador-aid=y'} | Support Value=0.34942528735632183
{'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} | Support Value=0.34942528735632183
{'crime=n', 'adoption-of-the-budget-resolution=y', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Support Value=0.34942528735632183
{'physician-fee-freeze=n', 'education-spending=n', 'superfund-right-to-sue=n', 'Class Name=democrat'} | Support Value=0.34942528735632183
{'education-spending=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'el-salvador-aid=n'} | Support Value=0.34942528735632183
{'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y'} | Support Value=0.34942528735632183
{'anti-satellite-test-ban=y', 'mx-missile=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.34942528735632183
{'superfund-right-to-sue=y', 'crime=y', 'duty-free-exports=n'} | Support Value=0.34942528735632183
{'crime=n', 'adoption-of-the-budget-resolution=y', 'aid-to-nicaraguan-contras=y'} | Support Value=0.34942528735632183
{'superfund-right-to-sue=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Support Value=0.34942528735632183
{'adoption-of-the-budget-resolution=n', 'religious-groups-in-schools=y'} | Support Value=0.3471264367816092
{'anti-satellite-test-ban=y', 'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'el-salvador-aid=n'} | Support Value=0.3471264367816092
{'handicapped-infants=y', 'adoption-of-the-budget-resolution=y'} | Support Value=0.3471264367816092
{'superfund-right-to-sue=n', 'anti-satellite-test-ban=y', 'el-salvador-aid=n'} | Support Value=0.3471264367816092
{'education-spending=n', 'adoption-of-the-budget-resolution=y', 'mx-missile=y', 'Class Name=democrat'} | Support Value=0.3471264367816092
{'religious-groups-in-schools=y', 'crime=y', 'physician-fee-freeze=y'} | Support Value=0.3471264367816092
{'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'Class Name=democrat'} | Support Value=0.3471264367816092
{'mx-missile=n', 'handicapped-infants=n'} | Support Value=0.3471264367816092
{'adoption-of-the-budget-resolution=y', 'superfund-right-to-sue=n', 'el-salvador-aid=n'} | Support Value=0.3471264367816092
{'adoption-of-the-budget-resolution=y', 'duty-free-exports=y'} | Support Value=0.3471264367816092
{'education-spending=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3471264367816092
{'crime=n', 'education-spending=n'} | Support Value=0.3471264367816092
{'el-salvador-aid=y', 'duty-free-exports=n', 'mx-missile=n'} | Support Value=0.3471264367816092
{'education-spending=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.3471264367816092
{'aid-to-nicaraguan-contras=y', 'duty-free-exports=y'} | Support Value=0.3471264367816092
{'crime=n', 'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n'} | Support Value=0.3448275862068966
{'superfund-right-to-sue=n', 'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y'} | Support Value=0.3448275862068966
{'crime=n', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'aid-to-nicaraguan-contras=y'} | Support Value=0.3448275862068966
{'synfuels-corporation-cutback=y'} | Support Value=0.3448275862068966
{'immigration=y', 'export-administration-act-south-africa=y'} | Support Value=0.3448275862068966
{'duty-free-exports=n', 'physician-fee-freeze=y'} | Support Value=0.3448275862068966
{'el-salvador-aid=y', 'anti-satellite-test-ban=n', 'mx-missile=n'} | Support Value=0.3448275862068966
{'el-salvador-aid=y', 'crime=y', 'anti-satellite-test-ban=n'} | Support Value=0.3448275862068966
{'education-spending=n', 'superfund-right-to-sue=n', 'aid-to-nicaraguan-contras=y'} | Support Value=0.3448275862068966
{'superfund-right-to-sue=y', 'handicapped-infants=n'} | Support Value=0.3448275862068966
{'anti-satellite-test-ban=y', 'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.3448275862068966
{'crime=n', 'education-spending=n', 'Class Name=democrat'} | Support Value=0.3448275862068966
{'el-salvador-aid=y', 'crime=y', 'mx-missile=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3448275862068966
{'crime=n', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.3448275862068966
{'physician-fee-freeze=n', 'handicapped-infants=y'} | Support Value=0.3448275862068966
{'anti-satellite-test-ban=y', 'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3448275862068966
{'religious-groups-in-schools=y', 'el-salvador-aid=y', 'mx-missile=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3425287356321839
{'religious-groups-in-schools=y', 'Class Name=republican'} | Support Value=0.3425287356321839
{'crime=n', 'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3425287356321839
{'superfund-right-to-sue=y', 'el-salvador-aid=y', 'mx-missile=n'} | Support Value=0.3425287356321839
{'adoption-of-the-budget-resolution=y', 'export-administration-act-south-africa=y', 'aid-to-nicaraguan-contras=y'} | Support Value=0.3425287356321839
{'superfund-right-to-sue=n', 'mx-missile=y'} | Support Value=0.3425287356321839
{'superfund-right-to-sue=y', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3425287356321839
{'duty-free-exports=n', 'anti-satellite-test-ban=n'} | Support Value=0.3425287356321839
{'religious-groups-in-schools=y', 'anti-satellite-test-ban=n', 'mx-missile=n'} | Support Value=0.3425287356321839
{'superfund-right-to-sue=y', 'religious-groups-in-schools=y', 'mx-missile=n'} | Support Value=0.3425287356321839
{'duty-free-exports=n', 'crime=y', 'mx-missile=n'} | Support Value=0.3425287356321839
{'el-salvador-aid=y', 'crime=y', 'Class Name=republican'} | Support Value=0.3425287356321839
{'physician-fee-freeze=n', 'handicapped-infants=y', 'Class Name=democrat'} | Support Value=0.3425287356321839
{'adoption-of-the-budget-resolution=y', 'aid-to-nicaraguan-contras=y', 'superfund-right-to-sue=n', 'el-salvador-aid=n'} | Support Value=0.3425287356321839
{'crime=n', 'physician-fee-freeze=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3425287356321839
{'anti-satellite-test-ban=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3425287356321839
{'education-spending=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.3425287356321839
{'crime=n', 'physician-fee-freeze=n', 'el-salvador-aid=n'} | Support Value=0.3425287356321839
{'education-spending=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y'} | Support Value=0.3425287356321839
{'education-spending=n', 'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3425287356321839
{'el-salvador-aid=y', 'education-spending=y'} | Support Value=0.3425287356321839
{'religious-groups-in-schools=y', 'crime=y', 'anti-satellite-test-ban=n'} | Support Value=0.3425287356321839
{'aid-to-nicaraguan-contras=y', 'superfund-right-to-sue=n', 'anti-satellite-test-ban=y', 'el-salvador-aid=n'} | Support Value=0.34022988505747126
{'crime=n', 'anti-satellite-test-ban=y'} | Support Value=0.34022988505747126
{'el-salvador-aid=y', 'crime=y', 'Class Name=republican', 'physician-fee-freeze=y'} | Support Value=0.34022988505747126
{'religious-groups-in-schools=y', 'crime=y', 'education-spending=y'} | Support Value=0.34022988505747126
{'religious-groups-in-schools=y', 'crime=y', 'el-salvador-aid=y', 'physician-fee-freeze=y'} | Support Value=0.34022988505747126
{'physician-fee-freeze=n', 'education-spending=n', 'mx-missile=y', 'el-salvador-aid=n'} | Support Value=0.34022988505747126
{'crime=n', 'anti-satellite-test-ban=y', 'Class Name=democrat'} | Support Value=0.34022988505747126
{'education-spending=n', 'mx-missile=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.34022988505747126
{'aid-to-nicaraguan-contras=y', 'education-spending=n', 'adoption-of-the-budget-resolution=y', 'mx-missile=y'} | Support Value=0.34022988505747126
{'education-spending=n', 'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y', 'el-salvador-aid=n'} | Support Value=0.34022988505747126
{'crime=y', 'export-administration-act-south-africa=y'} | Support Value=0.34022988505747126
{'export-administration-act-south-africa=y', 'mx-missile=y'} | Support Value=0.34022988505747126
{'physician-fee-freeze=n', 'education-spending=n', 'adoption-of-the-budget-resolution=y', 'mx-missile=y'} | Support Value=0.34022988505747126
{'anti-satellite-test-ban=y', 'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y'} | Support Value=0.34022988505747126
{'el-salvador-aid=y', 'duty-free-exports=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.34022988505747126
{'anti-satellite-test-ban=y', 'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.34022988505747126
{'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y', 'mx-missile=y', 'el-salvador-aid=n'} | Support Value=0.34022988505747126
{'superfund-right-to-sue=n', 'anti-satellite-test-ban=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.33793103448275863
{'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'anti-satellite-test-ban=y', 'el-salvador-aid=n'} | Support Value=0.33793103448275863
{'superfund-right-to-sue=y', 'anti-satellite-test-ban=n'} | Support Value=0.33793103448275863
{'export-administration-act-south-africa=y', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Support Value=0.33793103448275863
{'export-administration-act-south-africa=y', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y'} | Support Value=0.33793103448275863
{'adoption-of-the-budget-resolution=y', 'superfund-right-to-sue=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.33793103448275863
{'education-spending=n', 'anti-satellite-test-ban=y', 'mx-missile=y', 'Class Name=democrat'} | Support Value=0.33793103448275863
{'adoption-of-the-budget-resolution=y', 'physician-fee-freeze=n', 'export-administration-act-south-africa=y', 'Class Name=democrat'} | Support Value=0.33793103448275863
{'religious-groups-in-schools=y', 'el-salvador-aid=y', 'handicapped-infants=n'} | Support Value=0.33793103448275863
{'adoption-of-the-budget-resolution=y', 'physician-fee-freeze=n', 'export-administration-act-south-africa=y'} | Support Value=0.33793103448275863
{'crime=n', 'physician-fee-freeze=n', 'education-spending=n'} | Support Value=0.33793103448275863
{'religious-groups-in-schools=y', 'Class Name=republican', 'physician-fee-freeze=y'} | Support Value=0.33793103448275863
{'education-spending=n', 'mx-missile=y', 'physician-fee-freeze=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.33793103448275863
{'crime=n', 'physician-fee-freeze=n', 'education-spending=n', 'Class Name=democrat'} | Support Value=0.33793103448275863
{'crime=y', 'mx-missile=n', 'physician-fee-freeze=y'} | Support Value=0.335632183908046
{'education-spending=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} | Support Value=0.335632183908046
{'religious-groups-in-schools=y', 'mx-missile=n', 'physician-fee-freeze=y'} | Support Value=0.335632183908046
{'crime=n', 'physician-fee-freeze=n', 'anti-satellite-test-ban=y', 'Class Name=democrat'} | Support Value=0.335632183908046
{'anti-satellite-test-ban=y', 'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} | Support Value=0.335632183908046
{'handicapped-infants=y', 'aid-to-nicaraguan-contras=y'} | Support Value=0.335632183908046
{'duty-free-exports=n', 'handicapped-infants=n'} | Support Value=0.335632183908046
{'anti-satellite-test-ban=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.335632183908046
{'superfund-right-to-sue=y', 'el-salvador-aid=y', 'duty-free-exports=n'} | Support Value=0.335632183908046
{'crime=n', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.335632183908046
{'superfund-right-to-sue=n', 'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y', 'Class Name=democrat'} | Support Value=0.335632183908046
{'adoption-of-the-budget-resolution=n', 'el-salvador-aid=y', 'crime=y'} | Support Value=0.335632183908046
{'immigration=y', 'religious-groups-in-schools=y'} | Support Value=0.335632183908046
{'education-spending=n', 'anti-satellite-test-ban=y', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.335632183908046
{'export-administration-act-south-africa=y', 'handicapped-infants=n'} | Support Value=0.335632183908046
{'adoption-of-the-budget-resolution=n', 'mx-missile=n'} | Support Value=0.335632183908046
{'anti-satellite-test-ban=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.335632183908046
{'superfund-right-to-sue=y', 'el-salvador-aid=y', 'aid-to-nicaraguan-contras=n'} | Support Value=0.335632183908046
{'Class Name=republican', 'mx-missile=n'} | Support Value=0.335632183908046
{'el-salvador-aid=y', 'anti-satellite-test-ban=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.335632183908046
{'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y'} | Support Value=0.335632183908046
{'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.335632183908046
{'education-spending=n', 'adoption-of-the-budget-resolution=y', 'superfund-right-to-sue=n'} | Support Value=0.335632183908046
{'crime=n', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'el-salvador-aid=n'} | Support Value=0.335632183908046
{'adoption-of-the-budget-resolution=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'el-salvador-aid=n'} | Support Value=0.335632183908046
{'crime=n', 'physician-fee-freeze=n', 'anti-satellite-test-ban=y'} | Support Value=0.335632183908046
{'aid-to-nicaraguan-contras=y', 'education-spending=n', 'anti-satellite-test-ban=y', 'mx-missile=y'} | Support Value=0.335632183908046
{'adoption-of-the-budget-resolution=n', 'physician-fee-freeze=y'} | Support Value=0.335632183908046
{'superfund-right-to-sue=y', 'crime=y', 'mx-missile=n'} | Support Value=0.3333333333333333
{'el-salvador-aid=y', 'Class Name=republican', 'mx-missile=n'} | Support Value=0.3333333333333333
{'education-spending=n', 'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.3333333333333333
{'superfund-right-to-sue=y', 'physician-fee-freeze=y'} | Support Value=0.3333333333333333
{'religious-groups-in-schools=y', 'duty-free-exports=n', 'el-salvador-aid=y', 'mx-missile=n'} | Support Value=0.3333333333333333
{'religious-groups-in-schools=y', 'Class Name=republican', 'el-salvador-aid=y'} | Support Value=0.3333333333333333
{'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'superfund-right-to-sue=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3333333333333333
{'religious-groups-in-schools=y', 'el-salvador-aid=y', 'mx-missile=n', 'physician-fee-freeze=y'} | Support Value=0.3333333333333333
{'Class Name=republican', 'mx-missile=n', 'physician-fee-freeze=y'} | Support Value=0.3333333333333333
{'synfuels-corporation-cutback=n', 'el-salvador-aid=y'} | Support Value=0.3333333333333333
{'education-spending=n', 'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'el-salvador-aid=n'} | Support Value=0.3333333333333333
{'education-spending=n', 'superfund-right-to-sue=n', 'anti-satellite-test-ban=y'} | Support Value=0.3333333333333333
{'el-salvador-aid=y', 'crime=y', 'mx-missile=n', 'physician-fee-freeze=y'} | Support Value=0.3333333333333333
{'export-administration-act-south-africa=y', 'el-salvador-aid=n'} | Support Value=0.3333333333333333
{'anti-satellite-test-ban=y', 'mx-missile=y', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3333333333333333
{'el-salvador-aid=y', 'crime=y', 'handicapped-infants=n'} | Support Value=0.3333333333333333
{'anti-satellite-test-ban=y', 'duty-free-exports=y'} | Support Value=0.3333333333333333
{'aid-to-nicaraguan-contras=y', 'duty-free-exports=y', 'Class Name=democrat'} | Support Value=0.3333333333333333
{'aid-to-nicaraguan-contras=y', 'superfund-right-to-sue=n', 'mx-missile=y'} | Support Value=0.3333333333333333
{'duty-free-exports=n', 'crime=y', 'physician-fee-freeze=y'} | Support Value=0.3333333333333333
{'education-spending=n', 'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3310344827586207
{'education-spending=n', 'superfund-right-to-sue=n', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Support Value=0.3310344827586207
{'crime=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} | Support Value=0.3310344827586207
{'duty-free-exports=n', 'education-spending=y'} | Support Value=0.3310344827586207
{'crime=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Support Value=0.3310344827586207
{'physician-fee-freeze=n', 'education-spending=n', 'superfund-right-to-sue=n', 'aid-to-nicaraguan-contras=y'} | Support Value=0.3310344827586207
{'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} | Support Value=0.3310344827586207
