2021-02-16 13:35:36.712583
{'physician-fee-freeze=n'} --> {'Class Name=democrat'} | Confidence: 0.9919028340080972 | Consequent Support: 0.6137931034482759 | Support: 0.5632183908045977 | Lift: 1.6160214711367875
{'physician-fee-freeze=y'} --> {'religious-groups-in-schools=y'} | Confidence: 0.903954802259887 | Consequent Support: 0.6252873563218391 | Support: 0.367816091954023 | Lift: 1.4456630109670987
{'superfund-right-to-sue=n', 'anti-satellite-test-ban=y'} --> {'aid-to-nicaraguan-contras=y'} | Confidence: 0.9411764705882353 | Consequent Support: 0.5563218390804597 | Support: 0.367816091954023 | Lift: 1.6917841516771999
{'superfund-right-to-sue=n', 'aid-to-nicaraguan-contras=y'} --> {'anti-satellite-test-ban=y'} | Confidence: 0.9090909090909091 | Consequent Support: 0.5494252873563218 | Support: 0.367816091954023 | Lift: 1.6546215290985167
{'education-spending=n', 'anti-satellite-test-ban=y', 'el-salvador-aid=n'} --> {'Class Name=democrat'} | Confidence: 0.9754601226993865 | Consequent Support: 0.6137931034482759 | Support: 0.36551724137931035 | Lift: 1.5892327841731577
{'education-spending=n', 'anti-satellite-test-ban=y', 'Class Name=democrat'} --> {'el-salvador-aid=n'} | Confidence: 0.9244186046511629 | Consequent Support: 0.4781609195402299 | Support: 0.36551724137931035 | Lift: 1.9332792933810379
{'education-spending=n', 'el-salvador-aid=n', 'Class Name=democrat'} --> {'anti-satellite-test-ban=y'} | Confidence: 0.9244186046511629 | Consequent Support: 0.5494252873563218 | Support: 0.36551724137931035 | Lift: 1.6825192176705268
{'anti-satellite-test-ban=y', 'physician-fee-freeze=n', 'education-spending=n'} --> {'aid-to-nicaraguan-contras=y'} | Confidence: 0.9464285714285715 | Consequent Support: 0.5563218390804597 | Support: 0.36551724137931035 | Lift: 1.7012249114521845
{'education-spending=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y'} --> {'physician-fee-freeze=n'} | Confidence: 0.9352941176470588 | Consequent Support: 0.5678160919540229 | Support: 0.36551724137931035 | Lift: 1.6471778994998811
{'religious-groups-in-schools=y', 'crime=y', 'mx-missile=n'} --> {'el-salvador-aid=y'} | Confidence: 0.9578313253012047 | Consequent Support: 0.48735632183908045 | Support: 0.36551724137931035 | Lift: 1.9653614457831323
{'religious-groups-in-schools=y', 'el-salvador-aid=y', 'mx-missile=n'} --> {'crime=y'} | Confidence: 0.9137931034482758 | Consequent Support: 0.5701149425287356 | Support: 0.36551724137931035 | Lift: 1.6028225806451613
{'el-salvador-aid=y', 'crime=y', 'mx-missile=n'} --> {'religious-groups-in-schools=y'} | Confidence: 0.9464285714285715 | Consequent Support: 0.6252873563218391 | Support: 0.36551724137931035 | Lift: 1.51358981092437
{'crime=y', 'mx-missile=n'} --> {'religious-groups-in-schools=y', 'el-salvador-aid=y'} | Confidence: 0.9034090909090909 | Consequent Support: 0.4528735632183908 | Support: 0.36551724137931035 | Lift: 1.9948373327180435
{'education-spending=n', 'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n'} --> {'adoption-of-the-budget-resolution=y'} | Confidence: 0.9137931034482758 | Consequent Support: 0.5816091954022988 | Support: 0.36551724137931035 | Lift: 1.5711462450592886
{'education-spending=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} --> {'aid-to-nicaraguan-contras=y'} | Confidence: 0.9875776397515529 | Consequent Support: 0.5563218390804597 | Support: 0.36551724137931035 | Lift: 1.7751912119501054
{'education-spending=n', 'mx-missile=y'} --> {'physician-fee-freeze=n'} | Confidence: 0.9298245614035088 | Consequent Support: 0.5678160919540229 | Support: 0.36551724137931035 | Lift: 1.63754528020456
{'crime=n', 'aid-to-nicaraguan-contras=y'} --> {'Class Name=democrat'} | Confidence: 0.99375 | Consequent Support: 0.6137931034482759 | Support: 0.36551724137931035 | Lift: 1.6190308988764046
{'crime=n', 'Class Name=democrat'} --> {'aid-to-nicaraguan-contras=y'} | Confidence: 0.9520958083832335 | Consequent Support: 0.5563218390804597 | Support: 0.36551724137931035 | Lift: 1.711411886969862
{'crime=n'} --> {'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Confidence: 0.9352941176470588 | Consequent Support: 0.5011494252873563 | Support: 0.36551724137931035 | Lift: 1.8662978953049112
{'education-spending=y'} --> {'religious-groups-in-schools=y'} | Confidence: 0.9298245614035088 | Consequent Support: 0.6252873563218391 | Support: 0.36551724137931035 | Lift: 1.4870356037151704
{'superfund-right-to-sue=n', 'el-salvador-aid=n'} --> {'Class Name=democrat'} | Confidence: 0.9693251533742332 | Consequent Support: 0.6137931034482759 | Support: 0.3632183908045977 | Lift: 1.5792376094299305
{'physician-fee-freeze=n', 'education-spending=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y'} --> {'Class Name=democrat'} | Confidence: 0.9937106918238994 | Consequent Support: 0.6137931034482759 | Support: 0.3632183908045977 | Lift: 1.6189668574659035
{'education-spending=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} --> {'physician-fee-freeze=n'} | Confidence: 0.9693251533742332 | Consequent Support: 0.5678160919540229 | Support: 0.3632183908045977 | Lift: 1.7071111000720303
{'physician-fee-freeze=n', 'education-spending=n', 'anti-satellite-test-ban=y', 'Class Name=democrat'} --> {'aid-to-nicaraguan-contras=y'} | Confidence: 0.9461077844311377 | Consequent Support: 0.5563218390804597 | Support: 0.3632183908045977 | Lift: 1.7006482901964668
{'education-spending=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y'} --> {'physician-fee-freeze=n', 'Class Name=democrat'} | Confidence: 0.9294117647058824 | Consequent Support: 0.5632183908045977 | Support: 0.3632183908045977 | Lift: 1.6501800720288116
{'physician-fee-freeze=n', 'education-spending=n', 'anti-satellite-test-ban=y'} --> {'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Confidence: 0.9404761904761906 | Consequent Support: 0.5011494252873563 | Support: 0.3632183908045977 | Lift: 1.8766382699868942
{'education-spending=n', 'anti-satellite-test-ban=y', 'Class Name=democrat'} --> {'physician-fee-freeze=n', 'aid-to-nicaraguan-contras=y'} | Confidence: 0.9186046511627908 | Consequent Support: 0.4850574712643678 | Support: 0.3632183908045977 | Lift: 1.8938057974209193
{'education-spending=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} --> {'Class Name=democrat'} | Confidence: 0.9813664596273293 | Consequent Support: 0.6137931034482759 | Support: 0.3632183908045977 | Lift: 1.5988554679321656
{'education-spending=n', 'el-salvador-aid=n', 'Class Name=democrat'} --> {'adoption-of-the-budget-resolution=y'} | Confidence: 0.9186046511627908 | Consequent Support: 0.5816091954022988 | Support: 0.3632183908045977 | Lift: 1.5794190642522292
{'physician-fee-freeze=n', 'education-spending=n', 'mx-missile=y'} --> {'Class Name=democrat'} | Confidence: 0.9937106918238994 | Consequent Support: 0.6137931034482759 | Support: 0.3632183908045977 | Lift: 1.6189668574659035
{'education-spending=n', 'mx-missile=y', 'Class Name=democrat'} --> {'physician-fee-freeze=n'} | Confidence: 0.9634146341463415 | Consequent Support: 0.5678160919540229 | Support: 0.3632183908045977 | Lift: 1.6967018860472007
{'education-spending=n', 'mx-missile=y'} --> {'physician-fee-freeze=n', 'Class Name=democrat'} | Confidence: 0.9239766081871346 | Consequent Support: 0.5632183908045977 | Support: 0.3632183908045977 | Lift: 1.640529896168994
{'education-spending=n', 'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y'} --> {'Class Name=democrat'} | Confidence: 0.9575757575757576 | Consequent Support: 0.6137931034482759 | Support: 0.3632183908045977 | Lift: 1.5600953353762343
{'education-spending=n', 'anti-satellite-test-ban=y', 'Class Name=democrat'} --> {'adoption-of-the-budget-resolution=y'} | Confidence: 0.9186046511627908 | Consequent Support: 0.5816091954022988 | Support: 0.3632183908045977 | Lift: 1.5794190642522292
{'education-spending=y'} --> {'crime=y'} | Confidence: 0.9239766081871346 | Consequent Support: 0.5701149425287356 | Support: 0.3632183908045977 | Lift: 1.6206847764572723
{'crime=n', 'adoption-of-the-budget-resolution=y'} --> {'Class Name=democrat'} | Confidence: 1.0 | Consequent Support: 0.6137931034482759 | Support: 0.3632183908045977 | Lift: 1.6292134831460674
{'crime=n', 'Class Name=democrat'} --> {'adoption-of-the-budget-resolution=y'} | Confidence: 0.9461077844311377 | Consequent Support: 0.5816091954022988 | Support: 0.3632183908045977 | Lift: 1.6267070601879245
{'crime=n'} --> {'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Confidence: 0.9294117647058824 | Consequent Support: 0.5310344827586206 | Support: 0.3632183908045977 | Lift: 1.7501909854851034
{'el-salvador-aid=y', 'aid-to-nicaraguan-contras=n'} --> {'mx-missile=n'} | Confidence: 0.9186046511627908 | Consequent Support: 0.4735632183908046 | Support: 0.3632183908045977 | Lift: 1.939771957552495
{'mx-missile=n', 'aid-to-nicaraguan-contras=n'} --> {'el-salvador-aid=y'} | Confidence: 0.9753086419753086 | Consequent Support: 0.48735632183908045 | Support: 0.3632183908045977 | Lift: 2.001222921034242
{'mx-missile=y', 'anti-satellite-test-ban=y', 'el-salvador-aid=n'} --> {'Class Name=democrat'} | Confidence: 0.9634146341463415 | Consequent Support: 0.6137931034482759 | Support: 0.3632183908045977 | Lift: 1.5696081118114553
{'mx-missile=y', 'el-salvador-aid=n', 'Class Name=democrat'} --> {'anti-satellite-test-ban=y'} | Confidence: 0.9239766081871346 | Consequent Support: 0.5494252873563218 | Support: 0.3632183908045977 | Lift: 1.6817147471188434
{'anti-satellite-test-ban=y', 'mx-missile=y', 'Class Name=democrat'} --> {'el-salvador-aid=n'} | Confidence: 0.9461077844311377 | Consequent Support: 0.4781609195402299 | Support: 0.3632183908045977 | Lift: 1.978638876093966
{'Class Name=republican'} --> {'crime=y'} | Confidence: 0.9404761904761906 | Consequent Support: 0.5701149425287356 | Support: 0.3632183908045977 | Lift: 1.6496255760368665
{'mx-missile=y', 'adoption-of-the-budget-resolution=y', 'aid-to-nicaraguan-contras=y'} --> {'el-salvador-aid=n'} | Confidence: 0.9239766081871346 | Consequent Support: 0.4781609195402299 | Support: 0.3632183908045977 | Lift: 1.9323549257759784
{'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n'} --> {'adoption-of-the-budget-resolution=y'} | Confidence: 0.9028571428571429 | Consequent Support: 0.5816091954022988 | Support: 0.3632183908045977 | Lift: 1.5523433088650482
{'adoption-of-the-budget-resolution=y', 'mx-missile=y', 'el-salvador-aid=n'} --> {'aid-to-nicaraguan-contras=y'} | Confidence: 0.9875 | Consequent Support: 0.5563218390804597 | Support: 0.3632183908045977 | Lift: 1.7750516528925622
{'mx-missile=y', 'physician-fee-freeze=n', 'aid-to-nicaraguan-contras=y'} --> {'anti-satellite-test-ban=y'} | Confidence: 0.9080459770114943 | Consequent Support: 0.5494252873563218 | Support: 0.3632183908045977 | Lift: 1.6527196652719667
{'mx-missile=y', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y'} --> {'physician-fee-freeze=n'} | Confidence: 0.9132947976878614 | Consequent Support: 0.5678160919540229 | Support: 0.3632183908045977 | Lift: 1.608434157871335
{'physician-fee-freeze=n', 'anti-satellite-test-ban=y', 'mx-missile=y'} --> {'aid-to-nicaraguan-contras=y'} | Confidence: 0.9693251533742332 | Consequent Support: 0.5563218390804597 | Support: 0.3632183908045977 | Lift: 1.7423819905693863
{'adoption-of-the-budget-resolution=n'} --> {'crime=y'} | Confidence: 0.9239766081871346 | Consequent Support: 0.5701149425287356 | Support: 0.3632183908045977 | Lift: 1.6206847764572723
{'superfund-right-to-sue=n', 'anti-satellite-test-ban=y'} --> {'physician-fee-freeze=n'} | Confidence: 0.9294117647058824 | Consequent Support: 0.5678160919540229 | Support: 0.3632183908045977 | Lift: 1.6368182900690642
{'crime=n'} --> {'adoption-of-the-budget-resolution=y'} | Confidence: 0.9294117647058824 | Consequent Support: 0.5816091954022988 | Support: 0.3632183908045977 | Lift: 1.5980004650081379
{'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'anti-satellite-test-ban=y', 'mx-missile=y'} --> {'Class Name=democrat'} | Confidence: 0.9936708860759492 | Consequent Support: 0.6137931034482759 | Support: 0.36091954022988504 | Lift: 1.6189020054046364
{'aid-to-nicaraguan-contras=y', 'anti-satellite-test-ban=y', 'mx-missile=y', 'Class Name=democrat'} --> {'physician-fee-freeze=n'} | Confidence: 0.9691358024691357 | Consequent Support: 0.5678160919540229 | Support: 0.36091954022988504 | Lift: 1.7067776278302593
{'physician-fee-freeze=n', 'anti-satellite-test-ban=y', 'mx-missile=y', 'Class Name=democrat'} --> {'aid-to-nicaraguan-contras=y'} | Confidence: 0.9691358024691357 | Consequent Support: 0.5563218390804597 | Support: 0.36091954022988504 | Lift: 1.7420416284052647
{'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'mx-missile=y', 'Class Name=democrat'} --> {'anti-satellite-test-ban=y'} | Confidence: 0.9075144508670521 | Consequent Support: 0.5494252873563218 | Support: 0.36091954022988504 | Lift: 1.6517522432099065
{'aid-to-nicaraguan-contras=y', 'anti-satellite-test-ban=y', 'mx-missile=y'} --> {'physician-fee-freeze=n', 'Class Name=democrat'} | Confidence: 0.9075144508670521 | Consequent Support: 0.5632183908045977 | Support: 0.36091954022988504 | Lift: 1.6113011678659905
{'physician-fee-freeze=n', 'anti-satellite-test-ban=y', 'mx-missile=y'} --> {'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Confidence: 0.9631901840490796 | Consequent Support: 0.5011494252873563 | Support: 0.36091954022988504 | Lift: 1.921962064501604
{'anti-satellite-test-ban=y', 'mx-missile=y', 'Class Name=democrat'} --> {'physician-fee-freeze=n', 'aid-to-nicaraguan-contras=y'} | Confidence: 0.9401197604790419 | Consequent Support: 0.4850574712643678 | Support: 0.36091954022988504 | Lift: 1.9381615915089252
{'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'mx-missile=y'} --> {'anti-satellite-test-ban=y', 'Class Name=democrat'} | Confidence: 0.9022988505747126 | Consequent Support: 0.45977011494252873 | Support: 0.36091954022988504 | Lift: 1.9625
{'education-spending=n', 'mx-missile=y'} --> {'el-salvador-aid=n'} | Confidence: 0.9181286549707601 | Consequent Support: 0.4781609195402299 | Support: 0.36091954022988504 | Lift: 1.9201248313090415
{'Class Name=republican'} --> {'el-salvador-aid=y'} | Confidence: 0.9345238095238095 | Consequent Support: 0.48735632183908045 | Support: 0.36091954022988504 | Lift: 1.9175370619946093
{'superfund-right-to-sue=n', 'el-salvador-aid=n'} --> {'physician-fee-freeze=n'} | Confidence: 0.9631901840490796 | Consequent Support: 0.5678160919540229 | Support: 0.36091954022988504 | Lift: 1.6963065994386626
{'superfund-right-to-sue=n', 'anti-satellite-test-ban=y'} --> {'Class Name=democrat'} | Confidence: 0.9235294117647058 | Consequent Support: 0.6137931034482759 | Support: 0.36091954022988504 | Lift: 1.504626569729015
{'superfund-right-to-sue=n', 'adoption-of-the-budget-resolution=y', 'aid-to-nicaraguan-contras=y'} --> {'Class Name=democrat'} | Confidence: 0.9515151515151515 | Consequent Support: 0.6137931034482759 | Support: 0.36091954022988504 | Lift: 1.5502213142662582
{'superfund-right-to-sue=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} --> {'aid-to-nicaraguan-contras=y'} | Confidence: 0.9631901840490796 | Consequent Support: 0.5563218390804597 | Support: 0.36091954022988504 | Lift: 1.731354256451858
{'superfund-right-to-sue=n', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} --> {'adoption-of-the-budget-resolution=y'} | Confidence: 0.9401197604790419 | Consequent Support: 0.5816091954022988 | Support: 0.36091954022988504 | Lift: 1.6164114458829377
{'superfund-right-to-sue=n', 'adoption-of-the-budget-resolution=y'} --> {'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Confidence: 0.9127906976744186 | Consequent Support: 0.5011494252873563 | Support: 0.36091954022988504 | Lift: 1.8213942820567528
{'mx-missile=y', 'education-spending=n', 'aid-to-nicaraguan-contras=y'} --> {'Class Name=democrat'} | Confidence: 0.9691358024691357 | Consequent Support: 0.6137931034482759 | Support: 0.36091954022988504 | Lift: 1.5789291163822996
{'education-spending=n', 'mx-missile=y', 'Class Name=democrat'} --> {'aid-to-nicaraguan-contras=y'} | Confidence: 0.9573170731707317 | Consequent Support: 0.5563218390804597 | Support: 0.36091954022988504 | Lift: 1.7207972183027616
{'education-spending=n', 'mx-missile=y'} --> {'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Confidence: 0.9181286549707601 | Consequent Support: 0.5011494252873563 | Support: 0.36091954022988504 | Lift: 1.8320457106067922
{'education-spending=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n'} --> {'Class Name=democrat'} | Confidence: 0.975 | Consequent Support: 0.6137931034482759 | Support: 0.3586206896551724 | Lift: 1.5884831460674156
{'education-spending=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} --> {'el-salvador-aid=n'} | Confidence: 0.9570552147239263 | Consequent Support: 0.4781609195402299 | Support: 0.3586206896551724 | Lift: 2.0015337423312882
{'education-spending=n', 'anti-satellite-test-ban=y', 'el-salvador-aid=n', 'Class Name=democrat'} --> {'aid-to-nicaraguan-contras=y'} | Confidence: 0.9811320754716981 | Consequent Support: 0.5563218390804597 | Support: 0.3586206896551724 | Lift: 1.763605176984251
{'education-spending=n', 'Class Name=democrat', 'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n'} --> {'anti-satellite-test-ban=y'} | Confidence: 0.9230769230769231 | Consequent Support: 0.5494252873563218 | Support: 0.3586206896551724 | Lift: 1.6800772449308017
{'education-spending=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y'} --> {'el-salvador-aid=n', 'Class Name=democrat'} | Confidence: 0.9176470588235294 | Consequent Support: 0.45977011494252873 | Support: 0.3586206896551724 | Lift: 1.9958823529411764
{'education-spending=n', 'anti-satellite-test-ban=y', 'el-salvador-aid=n'} --> {'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Confidence: 0.9570552147239263 | Consequent Support: 0.5011494252873563 | Support: 0.3586206896551724 | Lift: 1.9097202679124219
{'education-spending=n', 'anti-satellite-test-ban=y', 'Class Name=democrat'} --> {'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n'} | Confidence: 0.9069767441860465 | Consequent Support: 0.4689655172413793 | Support: 0.3586206896551724 | Lift: 1.9339945280437756
{'education-spending=n', 'el-salvador-aid=n', 'Class Name=democrat'} --> {'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y'} | Confidence: 0.9069767441860465 | Consequent Support: 0.4827586206896552 | Support: 0.3586206896551724 | Lift: 1.878737541528239
{'crime=n', 'physician-fee-freeze=n'} --> {'aid-to-nicaraguan-contras=y'} | Confidence: 0.9570552147239263 | Consequent Support: 0.5563218390804597 | Support: 0.3586206896551724 | Lift: 1.7203265223343305
{'crime=n', 'aid-to-nicaraguan-contras=y'} --> {'physician-fee-freeze=n'} | Confidence: 0.975 | Consequent Support: 0.5678160919540229 | Support: 0.3586206896551724 | Lift: 1.717105263157895
{'crime=n'} --> {'physician-fee-freeze=n', 'aid-to-nicaraguan-contras=y'} | Confidence: 0.9176470588235294 | Consequent Support: 0.4850574712643678 | Support: 0.3586206896551724 | Lift: 1.8918316141622524
{'el-salvador-aid=y', 'Class Name=republican'} --> {'physician-fee-freeze=y'} | Confidence: 0.9936305732484076 | Consequent Support: 0.4068965517241379 | Support: 0.3586206896551724 | Lift: 2.4419734427291377
{'el-salvador-aid=y', 'physician-fee-freeze=y'} --> {'Class Name=republican'} | Confidence: 0.9285714285714286 | Consequent Support: 0.38620689655172413 | Support: 0.3586206896551724 | Lift: 2.4043367346938775
{'Class Name=republican', 'physician-fee-freeze=y'} --> {'el-salvador-aid=y'} | Confidence: 0.9570552147239263 | Consequent Support: 0.48735632183908045 | Support: 0.3586206896551724 | Lift: 1.9637689547401318
{'Class Name=republican'} --> {'el-salvador-aid=y', 'physician-fee-freeze=y'} | Confidence: 0.9285714285714286 | Consequent Support: 0.38620689655172413 | Support: 0.3586206896551724 | Lift: 2.4043367346938775
{'crime=n', 'physician-fee-freeze=n'} --> {'adoption-of-the-budget-resolution=y'} | Confidence: 0.9570552147239263 | Consequent Support: 0.5816091954022988 | Support: 0.3586206896551724 | Lift: 1.6455297170154464
{'crime=n', 'adoption-of-the-budget-resolution=y'} --> {'physician-fee-freeze=n'} | Confidence: 0.9873417721518987 | Consequent Support: 0.5678160919540229 | Support: 0.3586206896551724 | Lift: 1.7388407728181212
{'crime=n'} --> {'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y'} | Confidence: 0.9176470588235294 | Consequent Support: 0.503448275862069 | Support: 0.3586206896551724 | Lift: 1.822723609991942
{'religious-groups-in-schools=y', 'anti-satellite-test-ban=n'} --> {'el-salvador-aid=y'} | Confidence: 0.9230769230769231 | Consequent Support: 0.48735632183908045 | Support: 0.3586206896551724 | Lift: 1.8940493468795356
{'el-salvador-aid=y', 'anti-satellite-test-ban=n'} --> {'religious-groups-in-schools=y'} | Confidence: 0.9629629629629629 | Consequent Support: 0.6252873563218391 | Support: 0.3586206896551724 | Lift: 1.540032679738562
{'crime=n', 'physician-fee-freeze=n', 'aid-to-nicaraguan-contras=y'} --> {'Class Name=democrat'} | Confidence: 1.0 | Consequent Support: 0.6137931034482759 | Support: 0.3586206896551724 | Lift: 1.6292134831460674
{'crime=n', 'physician-fee-freeze=n', 'Class Name=democrat'} --> {'aid-to-nicaraguan-contras=y'} | Confidence: 0.9570552147239263 | Consequent Support: 0.5563218390804597 | Support: 0.3586206896551724 | Lift: 1.7203265223343305
{'crime=n', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} --> {'physician-fee-freeze=n'} | Confidence: 0.9811320754716981 | Consequent Support: 0.5678160919540229 | Support: 0.3586206896551724 | Lift: 1.7279046673286993
{'crime=n', 'physician-fee-freeze=n'} --> {'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Confidence: 0.9570552147239263 | Consequent Support: 0.5011494252873563 | Support: 0.3586206896551724 | Lift: 1.9097202679124219
{'crime=n', 'aid-to-nicaraguan-contras=y'} --> {'physician-fee-freeze=n', 'Class Name=democrat'} | Confidence: 0.975 | Consequent Support: 0.5632183908045977 | Support: 0.3586206896551724 | Lift: 1.7311224489795918
{'crime=n', 'Class Name=democrat'} --> {'physician-fee-freeze=n', 'aid-to-nicaraguan-contras=y'} | Confidence: 0.934131736526946 | Consequent Support: 0.4850574712643678 | Support: 0.3586206896551724 | Lift: 1.9258166132190593
{'crime=n'} --> {'physician-fee-freeze=n', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Confidence: 0.9176470588235294 | Consequent Support: 0.4827586206896552 | Support: 0.3586206896551724 | Lift: 1.9008403361344537
{'crime=n', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y'} --> {'Class Name=democrat'} | Confidence: 1.0 | Consequent Support: 0.6137931034482759 | Support: 0.3586206896551724 | Lift: 1.6292134831460674
{'crime=n', 'physician-fee-freeze=n', 'Class Name=democrat'} --> {'adoption-of-the-budget-resolution=y'} | Confidence: 0.9570552147239263 | Consequent Support: 0.5816091954022988 | Support: 0.3586206896551724 | Lift: 1.6455297170154464
{'crime=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} --> {'physician-fee-freeze=n'} | Confidence: 0.9873417721518987 | Consequent Support: 0.5678160919540229 | Support: 0.3586206896551724 | Lift: 1.7388407728181212
{'crime=n', 'physician-fee-freeze=n'} --> {'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Confidence: 0.9570552147239263 | Consequent Support: 0.5310344827586206 | Support: 0.3586206896551724 | Lift: 1.8022468329216796
{'crime=n', 'adoption-of-the-budget-resolution=y'} --> {'physician-fee-freeze=n', 'Class Name=democrat'} | Confidence: 0.9873417721518987 | Consequent Support: 0.5632183908045977 | Support: 0.3586206896551724 | Lift: 1.7530353913717385
{'crime=n', 'Class Name=democrat'} --> {'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y'} | Confidence: 0.934131736526946 | Consequent Support: 0.503448275862069 | Support: 0.3586206896551724 | Lift: 1.8554671478959888
{'crime=n'} --> {'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Confidence: 0.9176470588235294 | Consequent Support: 0.503448275862069 | Support: 0.3586206896551724 | Lift: 1.822723609991942
{'religious-groups-in-schools=y', 'aid-to-nicaraguan-contras=n'} --> {'crime=y'} | Confidence: 0.9397590361445782 | Consequent Support: 0.5701149425287356 | Support: 0.3586206896551724 | Lift: 1.6483676642052079
{'crime=y', 'aid-to-nicaraguan-contras=n'} --> {'religious-groups-in-schools=y'} | Confidence: 0.9397590361445782 | Consequent Support: 0.6252873563218391 | Support: 0.3586206896551724 | Lift: 1.5029234585400424
{'religious-groups-in-schools=y', 'physician-fee-freeze=y'} --> {'el-salvador-aid=y'} | Confidence: 0.975 | Consequent Support: 0.48735632183908045 | Support: 0.3586206896551724 | Lift: 2.0005896226415096
{'el-salvador-aid=y', 'physician-fee-freeze=y'} --> {'religious-groups-in-schools=y'} | Confidence: 0.9285714285714286 | Consequent Support: 0.6252873563218391 | Support: 0.3586206896551724 | Lift: 1.4850315126050422
{'education-spending=n', 'adoption-of-the-budget-resolution=y', 'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n'} --> {'Class Name=democrat'} | Confidence: 0.9811320754716981 | Consequent Support: 0.6137931034482759 | Support: 0.3586206896551724 | Lift: 1.5984736061055755
{'education-spending=n', 'adoption-of-the-budget-resolution=y', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} --> {'el-salvador-aid=n'} | Confidence: 0.9017341040462428 | Consequent Support: 0.4781609195402299 | Support: 0.3586206896551724 | Lift: 1.8858381502890174
{'education-spending=n', 'Class Name=democrat', 'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n'} --> {'adoption-of-the-budget-resolution=y'} | Confidence: 0.9230769230769231 | Consequent Support: 0.5816091954022988 | Support: 0.3586206896551724 | Lift: 1.587108543630283
{'education-spending=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} --> {'aid-to-nicaraguan-contras=y'} | Confidence: 0.9873417721518987 | Consequent Support: 0.5563218390804597 | Support: 0.3586206896551724 | Lift: 1.7747672350664296
{'education-spending=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} --> {'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Confidence: 0.968944099378882 | Consequent Support: 0.5011494252873563 | Support: 0.3586206896551724 | Lift: 1.9334435010541913
{'education-spending=n', 'el-salvador-aid=n', 'Class Name=democrat'} --> {'adoption-of-the-budget-resolution=y', 'aid-to-nicaraguan-contras=y'} | Confidence: 0.9069767441860465 | Consequent Support: 0.4942528735632184 | Support: 0.3586206896551724 | Lift: 1.8350459707950242
{'physician-fee-freeze=n', 'education-spending=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} --> {'Class Name=democrat'} | Confidence: 1.0 | Consequent Support: 0.6137931034482759 | Support: 0.3586206896551724 | Lift: 1.6292134831460674
{'physician-fee-freeze=n', 'education-spending=n', 'el-salvador-aid=n', 'Class Name=democrat'} --> {'adoption-of-the-budget-resolution=y'} | Confidence: 0.934131736526946 | Consequent Support: 0.5816091954022988 | Support: 0.3586206896551724 | Lift: 1.6061158315779507
